actions, games, valid_actions, av_kills, av_points, av_game_time, games_per_sec
3272,400,0.1904034229828851,0.5,7.7,103.71524749999487,578.5070319578899
6617,800,0.17847533632286997,0.56,8.4225,140.07630000000063,428.33798436994505
9937,1200,0.19759036144578312,0.505,7.74,138.91862750000655,431.90752082543554
13369,1600,0.21066433566433568,0.495,7.9525,144.8826199999984,414.128347485714
16645,2000,0.20177045177045178,0.475,7.575,146.57566249999945,409.34490062427807
20164,2400,0.24239840863881784,0.51,8.185,158.59997999999905,378.3102620820025
23560,2800,0.214075382803298,0.4975,7.8875,155.25006750000117,386.4732619198349
27012,3200,0.2291425260718424,0.4225,7.08,158.79454000000814,377.84674460467545
30472,3600,0.23872832369942196,0.4725,7.6525,160.90458500000764,372.89179795589513
34008,4000,0.25141402714932126,0.4825,7.8575,165.05689999999973,363.511007416231
37615,4400,0.27197116717493763,0.4625,7.795,168.86163000000116,355.3205070921061
41239,4800,0.26903973509933776,0.4225,7.31,170.2545449999982,352.41349944578945
44895,5200,0.27543763676148797,0.47,7.7625,169.41327749999792,354.16350409725555
48649,5600,0.2775705913692062,0.5125,8.49,173.34964749999926,346.1212691534331
52290,6000,0.27959351826421314,0.475,7.9475,169.05223750000005,354.9198809036762
56092,6400,0.3103629668595476,0.43,7.6025,176.86157500000263,339.2483641514507
59928,6800,0.31777893639207505,0.4475,7.7925,179.11899749999984,334.97284396089844
63984,7200,0.34566074950690334,0.4525,7.7675,188.362397499996,318.53491353018734
68054,7600,0.356019656019656,0.4825,8.2925,189.81285750000097,316.10082051475194
72172,8000,0.36328314715881493,0.42,7.4275,192.54981749999396,311.60767005142384
76300,8400,0.3682170542635659,0.435,7.8175,193.67756249999744,309.7932420540495
80719,8800,0.3937542430414121,0.47,7.9575,207.5910424999986,289.0298120642677
85219,9200,0.41955555555555557,0.44,7.7725,210.5217224999977,285.0062183012998
89805,9600,0.4282599215002181,0.395,7.2925,211.63348749999363,283.5090075241604
94667,10000,0.4611271081859317,0.425,7.74,217.97019000000495,275.26699866618753
99709,10400,0.49285997619992067,0.42,7.63,227.91072750000282,263.2609735318372
104862,10800,0.49039394527459734,0.3975,7.525,232.63980000001553,257.9094376800358
110558,11200,0.5300210674157303,0.4725,8.1225,6983.211659999996,8.592035143898249
116554,11600,0.5608739159439626,0.43,7.8425,239.73062750001205,250.28091164528814
122999,12000,0.6,0.3875,7.5475,367.37796499999706,163.31953931967715
129926,12400,0.6255233145661903,0.39,7.63,263.254235000005,227.9165613423042

