forward_8,backward_8,forward_16,backward_16,forward_32,backward_32,forward_64,backward_64
0.010403000036603771,0.0074940000486094505,0.009707999815000222,0.00806200011295732,0.009531999908853322,0.005993999883532524,0.009194000224582851,0.0065490000853315
0.012418000063917134,88.6053469999897,0.0161110000499757,108.67734600010456,0.017930999994277955,130.1293329999831,0.01853699996508658,178.66492200005845
0.01271799995447509,86.83712600001309,0.015078000127687119,107.65579999994871,0.017918000106699764,138.26701500005368,0.01685100001236424,178.162321
0.024037999763095286,86.64387499992881,0.020646999978926033,106.99670599988359,0.021534999776864426,139.1021880000194,0.017825000101234764,176.31578599999753
0.021987000065564644,94.66799600010563,0.020928999954368917,106.64432900008048,0.02785100007802248,139.61794400011377,0.028559999869205058,174.47699299996998
0.02230699997744523,97.7243100000851,0.02027599992742762,106.86543099996703,0.025583999950438738,137.94603600014187,0.03051500003179535,175.96545999988868
0.022700999957975,97.51614599989372,0.024921000226866455,106.55272900020238,0.03449900007853284,138.52691899982236,0.04319500006083399,192.4852959998087
0.025021999958669768,95.99924499988381,0.023235000140033664,106.22630799994012,0.03793799995491281,139.03601500014915,0.034792999936267735,184.30553300004453
0.02898999989614822,95.66509100009431,0.026821999826934187,106.31587499994528,0.03484299972746521,134.85864299988467,0.04580400001537055,175.15335100001656
0.028231999910087326,95.71423000005201,0.026587000017985703,105.74276099994988,0.04037899996852502,129.53267699975615,0.04483100013993681,172.88220299984422
